"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","179","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-02-25","passed","2026-02-25","","","",""
"","98","yields the value yielded by the last Cypress command inside","Connectors","2026-02-25","passed","2026-02-25","",".then()","",""
"","2810","cy.viewport() - set the viewport size and dimension","Viewport","2026-02-25","passed","2026-02-25","","","",""
"","335","cy.get() - query DOM elements","Querying","2026-02-25","passed","2026-02-25","","","",""
"","105","cy.root() - query the root DOM element","Querying","2026-02-25","passed","2026-02-25","","","",""
"","166","cy.request() with query parameters","Network Requests","2026-02-25","passed","2026-02-25","","","",""
"","810",".uncheck() - uncheck a checkbox element","Actions","2026-02-25","passed","2026-02-25","","","",""
"","698","cy.location() - get window.location","Location","2026-02-25","passed","2026-02-25","","","",""
"","104",".within() - query DOM elements within a specific element","Querying","2026-02-25","passed","2026-02-25","","","",""
"","101",".eq() - get a DOM element at a specific index","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","788",".check() - check a checkbox or radio element","Actions","2026-02-25","passed","2026-02-25","","","",""
"","116","cy.setCookie() - set a browser cookie","Cookies","2026-02-25","passed","2026-02-25","","","",""
"","405","cy.intercept() - route responses to matching requests","Network Requests","2026-02-25","passed","2026-02-25","","","",""
"","256","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-02-25","passed","2026-02-25","","","",""
"","842",".select() - select an option in a <select> element","Actions","2026-02-25","passed","2026-02-25","","","",""
"","177","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-02-25","passed","2026-02-25","","","",""
"","141",".debug() - enable or disable debugging","Cypress APIs","2026-02-25","passed","2026-02-25","","Cypress.Cookies","",""
"","97",".nextAll() - get all next sibling DOM elements","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","106",".invoke() - invoke a function on the current subject","Connectors","2026-02-25","passed","2026-02-25","","","",""
"","487",".dblclick() - double click on a DOM element","Actions","2026-02-25","passed","2026-02-25","","","",""
"","88",".not() - remove DOM elements from set of DOM elements","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","280","cy.focused() - get the DOM element that has focus","Misc","2026-02-25","passed","2026-02-25","","","",""
"","130","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-02-25","passed","2026-02-25","","","",""
"","218","cy.wait() - wait for a specific route","Waiting","2026-02-25","passed","2026-02-25","","","",""
"","100","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-02-25","passed","2026-02-25","","","",""
"","90","yields the returned value to the next command","Connectors","2026-02-25","passed","2026-02-25","",".then()","",""
"","213","cy.request() - save response in the shared test context","Network Requests","2026-02-25","passed","2026-02-25","","","",""
"","104","cy.readFile() - read file contents","Files","2026-02-25","passed","2026-02-25","","","",""
"","117","matches unknown text between two elements","Assertions","2026-02-25","passed","2026-02-25","","Explicit Assertions","",""
"","287","cy.request() - pass result to the second request","Network Requests","2026-02-25","passed","2026-02-25","","","",""
"","107","cy.document() - get the document object","Window","2026-02-25","passed","2026-02-25","","","",""
"","29","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-02-25","passed","2026-02-25","","","",""
"","1939",".click() - click on a DOM element","Actions","2026-02-25","passed","2026-02-25","","","",""
"","109",".its() - get properties on the current subject","Connectors","2026-02-25","passed","2026-02-25","","","",""
"","275","can filter for uncompleted tasks","example to-do app","2026-02-25","passed","2026-02-25","","with a checked task","",""
"","177","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-02-25","passed","2026-02-25","","","",""
"","234","cy.window() - get the global window object","Window","2026-02-25","passed","2026-02-25","","","",""
"","241",".children() - get child DOM elements","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","98",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-02-25","passed","2026-02-25","","Cypress.dom","",""
"","262","can filter for completed tasks","example to-do app","2026-02-25","passed","2026-02-25","","with a checked task","",""
"","202","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-02-25","passed","2026-02-25","","","",""
"","104",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","316","cy.hash() - get the current URL hash","Location","2026-02-25","passed","2026-02-25","","","",""
"","259","cy.request() - verify response using BDD syntax","Network Requests","2026-02-25","passed","2026-02-25","","","",""
"","275",".each() - iterate over an array of elements","Connectors","2026-02-25","passed","2026-02-25","","","",""
"","174","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-02-25","passed","2026-02-25","","","",""
"","190","can check off an item as completed","example to-do app","2026-02-25","passed","2026-02-25","","","",""
